ele_id,Node_1,Node_2,Node_3
1,118,91,98
2,180,178,168
3,142,43,42
4,84,33,74
5,95,77,44
6,81,12,65
7,86,11,64
8,83,10,75
9,89,75,29
10,166,152,149
11,116,101,72
12,73,68,7
13,82,26,69
14,80,25,79
15,85,3,66
16,70,66,2
17,78,1,67
18,67,22,62
19,92,35,91
20,88,28,68
21,79,4,71
22,144,125,120
23,117,62,93
24,66,3,2
25,106,105,79
26,156,132,154
27,87,6,82
28,177,176,163
29,89,9,72
30,157,133,152
31,64,11,30
32,134,65,86
33,84,76,14
34,90,15,76
35,91,16,63
36,48,36,18
37,116,72,88
38,88,72,8
39,148,123,128
40,40,20,52
41,98,91,63
42,196,131,142
43,99,90,76
44,95,74,77
45,81,77,32
46,161,134,94
47,110,75,107
48,182,166,179
49,203,21,61
50,127,113,125
51,117,113,67
52,151,147,121
53,206,19,39
54,204,177,184
55,115,73,103
56,111,96,82
57,112,80,105
58,106,71,104
59,109,104,85
60,102,70,97
61,197,183,60
62,62,22,17
63,92,17,35
64,63,16,34
65,90,34,15
66,86,65,31
67,83,30,10
68,65,12,31
69,86,31,11
70,85,71,24
71,70,2,23
72,78,70,23
73,67,1,22
74,68,28,7
75,73,7,27
76,69,26,5
77,80,5,25
78,78,23,1
79,129,97,127
80,71,4,24
81,85,24,3
82,72,9,8
83,88,8,28
84,87,27,6
85,130,103,96
86,74,33,13
87,77,74,13
88,75,10,29
89,89,29,9
90,76,15,14
91,84,14,33
92,77,13,32
93,81,32,12
94,113,97,78
95,113,78,67
96,105,80,79
97,79,25,4
98,112,111,69
99,80,69,5
100,108,81,65
101,81,44,77
102,96,87,82
103,82,6,26
104,110,83,75
105,83,64,30
106,140,74,95
107,140,84,74
108,109,66,102
109,109,85,66
110,134,86,64
111,134,108,65
112,103,87,96
113,87,73,27
114,100,88,68
115,116,88,100
116,101,89,72
117,107,89,101
118,114,90,99
119,90,63,34
120,147,144,120
121,91,35,16
122,118,92,91
123,92,62,17
124,199,193,192
125,93,62,92
126,161,45,134
127,94,64,83
128,95,44,43
129,140,95,43
130,111,82,69
131,174,158,156
132,150,129,127
133,97,70,78
134,114,63,90
135,124,121,118
136,140,99,76
137,142,99,43
138,115,68,73
139,146,119,145
140,149,122,146
141,126,101,122
142,138,137,104
143,102,66,70
144,128,123,115
145,103,73,87
146,205,175,139
147,104,71,85
148,106,79,71
149,175,136,139
150,137,106,104
151,205,106,137
152,133,107,126
153,107,75,89
154,108,45,44
155,108,44,81
156,135,102,129
157,138,109,135
158,141,110,133
159,110,94,83
160,112,69,80
161,132,130,96
162,205,105,106
163,136,132,111
164,117,67,62
165,155,150,127
166,131,124,98
167,114,98,63
168,123,119,100
169,115,100,68
170,119,116,100
171,122,116,119
172,120,117,93
173,125,117,120
174,121,120,93
175,118,93,92
176,123,100,115
177,163,146,145
178,121,93,118
179,170,150,155
180,124,118,98
181,200,194,40
182,167,146,163
183,122,101,116
184,128,115,103
185,164,163,145
186,131,98,114
187,143,124,131
188,155,125,144
189,125,113,117
190,152,126,149
191,126,107,101
192,169,153,150
193,127,97,113
194,130,128,103
195,148,145,123
196,153,129,150
197,129,102,97
198,132,96,111
199,158,130,156
