node_id,x,y,bc_info,load_info,material,s11,s22,s33,s12,s23,s13,von_mises
1,4.23886967,12.7624683,0.0,0.0,ALU,32.789552,5.586480633333333,0.0,8.151787433333334,0,0,33.50433112417542
2,3.56679392,12.2946901,0.0,0.0,ALU,13.020754666666669,4.7471994,0.0,6.5735571,0,0,16.12137693662102
3,3.13365602,11.5997839,0.0,0.0,ALU,2.0892861466666663,0.6882367333333334,0.0,1.6331005133333332,0,0,3.3766721474153987
4,3.00966048,10.7903843,0.0,0.0,ALU,0.43915794,-1.588953733333333,0.0,0.1071919726666666,0,0,1.8573921686702224
5,3.21490526,9.99768257,0.0,0.0,ALU,3.6785835,1.163180433333333,0.0,-2.4459127666666665,0,0,5.3435546898864885
6,3.71612358,9.35016155,0.0,0.0,ALU,16.812237666666665,4.987794500000001,0.0,-7.315107433333334,0,0,19.601169175634613
7,4.4320755,8.95277596,0.0,0.0,ALU,37.647322,4.955472533333333,0.0,-6.4900929,0,0,37.17097266991598
8,5.64982462,8.95277596,0.0,0.0,ALU,43.55376566666666,7.031469466666667,0.0,10.154347333333334,0,0,44.15266019688935
9,6.36577654,9.35016155,0.0,0.0,ALU,23.60723333333333,8.459208333333335,0.0,11.773202666666668,0,0,29.068644093457888
10,6.86699486,9.99768257,0.0,0.0,ALU,6.3377240666666665,-0.2222509333333332,0.0,4.5919628333333335,0,0,10.241243816048092
11,7.0722394,10.7903843,0.0,0.0,ALU,0.5225064333333332,-8.335124033333335,0.0,0.1974049866666667,0,0,8.615066322452558
12,6.94824409,11.5997839,0.0,0.0,ALU,3.734247,-2.5450906333333334,0.0,-2.82312702,0,0,7.337317123056997
13,6.5151062,12.2946901,0.0,0.0,ALU,18.03327733333333,7.128800366666667,0.0,-10.130216666666668,0,0,23.56537971524044
14,5.84303045,12.7624683,0.0,0.0,ALU,39.039872,7.8163771,0.0,-11.787415333333334,0,0,41.193281927755685
15,5.04094982,12.9273005,0.0,0.0,ALU,47.21687666666666,4.628489,0.0,-1.1988598666666666,0,0,45.12898573258676
16,10.3809004,0.0,0.0,-17.1545429229736,ALU,17.235683,-0.34109312,0.0,-0.36389357,0,0,17.42014183276541
17,0.0,0.0,1.0,0.0,ALU,24.632978,8.128882,0.0,6.0912576,0,0,24.164726642287626
18,10.3809004,23.3672009,0.0,-17.1545600891113,ALU,17.301548,-0.28319648,0.0,0.3018226,0,0,17.452701555356743
19,0.0,23.3672009,1.0,0.0,ALU,23.664972,7.8094406,0.0,-5.781306,0,0,23.162006957687343
20,4.63152885,12.8856659,0.0,0.0,ALU,42.16105,4.745157166666666,0.0,4.745030133333334,0,0,40.835716939658354
21,3.87904763,12.5627508,0.0,0.0,ALU,22.24063233333333,5.855402099999999,0.0,8.487928333333334,0,0,24.795935095186007
22,3.31489253,11.9692602,0.0,0.0,ALU,6.108188166666667,2.6008409,0.0,3.8853218333333337,0,0,8.571761061968942
23,3.03050423,11.2013893,0.0,0.0,ALU,0.5479344466666667,-1.2880411333333337,0.0,0.5706005893333334,0,0,1.908349895150801
24,3.07197785,10.3835974,0.0,0.0,ALU,1.1550205913333336,-0.97843539,0.0,-0.8667301,0,0,2.382264594936034
25,3.4325912,9.6484375,0.0,0.0,ALU,8.719463833333334,3.4757589333333336,0.0,-4.8379498,0,0,11.314613126078566
26,4.05389452,9.11506653,0.0,0.0,ALU,27.062268,5.4511495,0.0,-8.296569,0,0,28.654146000420106
27,4.83518362,8.86993504,0.0,0.0,ALU,45.43388100000001,4.514969433333333,0.0,-1.7354927,0,0,43.457171013408725
28,5.24671602,8.86993504,0.0,0.0,ALU,47.697818000000005,5.211217066666666,0.0,4.631645033333334,0,0,46.02207458619272
29,6.0280056,9.11506653,0.0,0.0,ALU,34.529257333333334,8.688259666666667,0.0,12.711851333333334,0,0,38.11206904879519
30,6.64930868,9.6484375,0.0,0.0,ALU,13.556820333333334,5.331248,0.0,8.476896233333333,0,0,18.854922984500465
31,7.00992203,10.3835974,0.0,0.0,ALU,2.1445015266666663,-5.846402533333333,0.0,1.5312880333333334,0,0,7.638812581872453
32,7.05139589,11.2013893,0.0,0.0,ALU,1.0883989433333334,-7.381750533333332,0.0,-0.65370931,0,0,8.061708892200732
33,6.76700735,11.9692602,0.0,0.0,ALU,9.191040366666668,3.067951423333333,0.0,-6.192735366666667,0,0,13.44395022110289
34,6.20285225,12.5627508,0.0,0.0,ALU,28.69063733333333,8.674726966666666,0.0,-12.5418335,0,0,33.48750327805764
35,5.45037127,12.8856659,0.0,0.0,ALU,46.04253066666666,5.897174666666667,0.0,-7.552200066666667,0,0,45.32413960953154
