ele_id,Node_1,Node_2,Node_3
1,83,35,15
2,81,34,74
3,75,74,14
4,94,75,33
5,85,70,32
6,91,11,68
7,92,10,67
8,93,9,79
9,162,126,142
10,78,76,8
11,116,96,101
12,86,27,80
13,111,73,107
14,88,73,26
15,90,3,77
16,87,2,84
17,72,22,1
18,95,65,64
19,155,133,146
20,89,71,25
21,65,16,64
22,82,21,65
23,84,22,72
24,105,90,77
25,89,4,66
26,88,5,71
27,80,6,73
28,132,116,117
29,79,28,76
30,103,92,97
31,129,69,91
32,85,12,69
33,94,13,70
34,104,81,74
35,83,15,81
36,49,36,17
37,101,76,78
38,166,153,161
39,180,19,52
40,163,154,148
41,121,114,108
42,104,74,99
43,112,99,75
44,112,44,43
45,91,69,31
46,92,68,30
47,113,79,96
48,96,79,76
49,166,165,160
50,63,50,20
51,114,64,83
52,179,177,176
53,53,18,38
54,170,169,161
55,117,101,110
56,110,86,102
57,107,73,88
58,100,71,89
59,130,105,59
60,144,105,106
61,109,72,82
62,82,72,1
63,176,62,159
64,64,16,35
65,118,95,114
66,109,98,72
67,65,21,16
68,66,4,24
69,90,24,3
70,67,10,29
71,93,29,9
72,68,11,30
73,92,30,10
74,69,12,31
75,91,31,11
76,70,13,32
77,85,32,12
78,71,5,25
79,89,25,4
80,98,84,72
81,82,1,21
82,73,6,26
83,88,26,5
84,74,34,14
85,75,14,33
86,94,33,13
87,141,43,42
88,76,28,8
89,78,8,7
90,77,3,23
91,87,23,2
92,86,7,27
93,101,96,76
94,113,97,93
95,79,9,28
96,111,80,73
97,80,27,6
98,108,81,104
99,81,15,34
100,115,65,95
101,115,82,65
102,114,83,108
103,83,64,35
104,106,84,98
105,84,2,22
106,85,69,44
107,85,44,70
108,102,86,80
109,86,78,7
110,106,105,87
111,87,77,23
112,100,88,71
113,107,88,100
114,130,89,66
115,130,100,89
116,130,90,105
117,90,66,24
118,129,68,103
119,129,91,68
120,97,92,67
121,103,68,92
122,97,67,93
123,93,67,29
124,112,94,70
125,112,75,94
126,133,119,118
127,135,119,133
128,160,131,145
129,131,120,116
130,139,103,97
131,113,93,79
132,136,128,125
133,128,106,98
134,141,104,99
135,99,74,75
136,100,58,57
137,156,100,57
138,110,78,86
139,132,131,116
140,150,143,124
141,123,117,110
142,139,45,103
143,129,103,45
144,137,42,41
145,127,108,104
146,105,77,87
147,130,59,58
148,144,128,60
149,106,87,84
150,156,56,150
151,156,150,124
152,121,118,114
153,108,83,81
154,115,109,82
155,125,109,122
156,117,116,101
157,110,101,78
158,156,111,107
159,111,102,80
160,112,70,44
161,112,43,99
162,120,96,116
163,126,97,113
164,134,133,118
165,114,95,64
166,119,95,118
167,122,115,119
168,158,147,152
169,147,132,138
170,123,110,102
171,147,145,132
172,148,134,137
173,159,62,149
174,140,136,125
175,119,115,95
176,142,120,131
177,120,113,96
178,127,121,108
179,168,163,40
180,140,122,135
181,122,109,115
182,124,123,102
183,138,132,117
184,124,102,111
185,157,150,56
186,136,60,128
187,125,98,109
188,162,139,126
189,126,113,120
190,141,127,104
191,141,137,127
192,144,60,59
193,128,98,125
194,129,45,44
195,129,44,69
196,130,58,100
197,130,66,90
198,160,145,153
199,165,162,160
200,138,117,123
201,167,158,164
202,134,118,121
203,175,154,171
204,137,134,121
205,148,146,134
206,149,61,136
207,135,122,119
208,136,61,60
209,140,125,122
210,137,121,127
211,163,41,40
212,143,138,123
213,158,153,147
214,139,46,45
215,139,97,126
216,151,149,140
217,151,140,135
218,141,99,43
219,141,42,137
220,162,46,139
221,142,126,120
222,143,123,124
223,152,147,138
224,144,59,105
225,144,106,128
226,172,48,165
227,145,131,132
228,179,176,159
229,146,133,134
230,152,138,143
231,170,37,169
232,148,137,41
233,180,173,168
234,149,62,61
235,149,136,140
236,156,124,111
237,157,56,55
238,155,135,133
239,175,151,155
240,157,152,143
241,164,55,54
242,178,172,169
243,153,145,147
244,173,171,168
245,154,146,148
246,155,151,135
247,155,146,154
248,156,107,100
249,156,57,56
250,157,143,150
251,164,157,55
252,164,158,152
253,167,161,158
254,179,159,175
255,159,149,151
256,165,47,162
257,160,142,131
258,178,49,172
259,161,153,158
260,162,47,46
261,162,142,160
262,163,148,41
263,168,40,39
264,164,152,157
265,167,164,54
266,166,160,153
267,165,48,47
268,169,166,161
269,172,165,166
270,174,54,53
271,174,38,170
272,180,168,39
273,168,154,163
274,170,161,167
275,178,37,36
276,174,170,167
277,170,38,37
278,171,154,168
279,177,51,50
280,172,49,48
281,172,166,169
282,173,52,51
283,177,173,51
284,174,167,54
285,174,53,38
286,175,159,151
287,175,155,154
288,176,50,63
289,176,63,62
290,177,171,173
291,177,50,176
292,178,169,37
293,178,36,49
294,179,175,171
295,179,171,177
296,180,39,19
297,180,52,173
