node_id,x,y,bc_info,load_info,material,s11,s22,s33,s12,s23,s13,von_mises
1,3.69032788,10.9688482,0.0,0.0,ALU,34.528574666666664,5.3539997,0.0,7.626383233333333,0,0,34.792340630624686
2,3.00430775,10.4913645,0.0,0.0,ALU,12.964465,3.9952496,0.0,6.1310251,0,0,15.652843346419562
3,2.5621829,9.7820406,0.0,0.0,ALU,2.3160475000000003,0.2618218209999999,0.0,1.6597108766666668,0,0,3.618031992204106
4,2.43561459,8.95584679,0.0,0.0,ALU,0.5950071643333333,-2.054276866666666,0.0,-0.1410939933333333,0,0,2.4199419349614466
5,2.645118,8.146698,0.0,0.0,ALU,3.3179690666666666,1.2783723333333334,0.0,-2.3373437,0,0,4.979064310500073
6,3.15673566,7.48574209,0.0,0.0,ALU,16.87544,4.506645566666666,0.0,-6.7067185333333335,0,0,19.0782316542094
7,3.88754225,7.0801115,0.0,0.0,ALU,40.05729933333333,5.0298707,0.0,-6.113406233333333,0,0,39.249522292919686
8,4.29901457,6.99555159,0.0,0.0,ALU,49.362422,5.135356266666666,0.0,-1.1190402333333334,0,0,47.04554941402628
9,5.13055801,7.0801115,0.0,0.0,ALU,50.04562066666667,8.988811499999999,0.0,13.011756,0,0,51.41429385036678
10,5.86136436,7.48574209,0.0,0.0,ALU,28.595611,13.168843666666668,0.0,17.12615,0,0,38.65839265458556
11,6.37298203,8.146698,0.0,0.0,ALU,8.591650833333334,2.117390766666667,0.0,7.101664,0,0,14.539904410361393
12,6.5824852,8.95584679,0.0,0.0,ALU,1.75861668,-9.184156766666666,0.0,-0.4854086333333333,0,0,10.212724614294748
13,6.45591736,9.7820406,0.0,0.0,ALU,4.889679266666666,0.0637322,0.0,-4.515808533333334,0,0,9.20754990409534
14,6.01379251,10.4913645,0.0,0.0,ALU,21.870439,10.879229,0.0,-14.067460666666667,0,0,30.86131170738328
15,5.32777214,10.9688482,0.0,0.0,ALU,44.94624133333334,10.6907992,0.0,-14.844509666666667,0,0,48.11470625880237
16,4.50904989,11.1371002,0.0,0.0,ALU,51.98358266666667,5.8446371,0.0,-2.4957501,0,0,49.510744081798016
17,8.19270039,0.0,0.0,-18.5175895690918,ALU,16.840853,-0.73534346,0.0,-0.72979116,0,0,17.266634191346835
