ele_id,Node_1,Node_2,Node_3
1,81,17,75
2,75,16,64
3,64,34,60
4,87,33,83
5,97,83,63
6,67,63,32
7,84,67,13
8,76,11,72
9,85,72,30
10,110,99,85
11,73,28,71
12,118,113,100
13,102,71,65
14,128,69,95
15,68,5,26
16,109,68,80
17,109,92,54
18,66,24,2
19,89,74,58
20,74,23,58
21,88,35,81
22,79,9,70
23,133,115,112
24,77,1,74
25,78,24,66
26,82,25,61
27,86,6,69
28,71,7,65
29,100,93,79
30,85,10,62
31,72,11,30
32,84,12,59
33,83,14,63
34,143,124,42
35,104,64,91
36,46,36,19
37,142,119,137
38,151,137,150
39,118,100,107
40,50,40,21
41,114,112,90
42,91,64,60
43,97,87,83
44,97,67,94
45,131,98,126
46,122,99,119
47,57,47,22
48,111,58,88
49,111,88,90
50,154,149,139
51,51,20,39
52,107,73,105
53,128,52,127
54,109,95,68
55,82,80,4
56,130,92,103
57,121,89,115
58,58,23,18
59,88,18,35
60,59,12,31
61,76,31,11
62,60,34,15
63,87,15,33
64,61,25,3
65,78,3,24
66,62,10,29
67,79,29,9
68,63,14,32
69,67,32,13
70,138,133,112
71,64,16,34
72,65,7,27
73,86,27,6
74,103,92,66
75,77,2,1
76,84,13,12
77,132,97,94
78,95,69,68
79,80,68,26
80,69,6,5
81,69,5,68
82,70,9,8
83,73,8,28
84,105,71,102
85,71,28,7
86,106,72,99
87,85,30,10
88,127,123,105
89,73,70,8
90,101,74,89
91,74,1,23
92,104,75,64
93,75,17,16
94,106,76,72
95,76,59,31
96,103,77,101
97,77,66,2
98,92,78,66
99,78,61,3
100,100,79,70
101,79,62,29
102,80,26,4
103,82,4,25
104,90,88,81
105,81,35,17
106,109,61,92
107,109,82,61
108,129,108,97
109,83,33,14
110,98,94,59
111,94,84,59
112,110,62,93
113,110,85,62
114,128,102,65
115,86,65,27
116,108,91,60
117,87,60,15
118,112,111,90
119,88,58,18
120,152,135,148
121,135,115,133
122,96,81,75
123,166,157,163
124,108,60,87
125,104,96,75
126,92,55,54
127,92,61,78
128,136,113,134
129,93,62,79
130,132,44,43
131,94,67,84
132,95,54,53
133,128,95,53
134,166,163,159
135,96,90,81
136,97,63,67
137,129,43,42
138,131,126,45
139,98,59,76
140,137,116,136
141,99,72,85
142,107,70,73
143,140,118,123
144,125,103,101
145,101,77,74
146,128,65,86
147,146,127,52
148,130,125,56
149,103,66,77
150,120,117,104
151,117,114,96
152,123,118,107
153,105,73,71
154,126,98,106
155,106,98,76
156,140,134,118
157,107,100,70
158,108,87,97
159,129,124,108
160,109,54,95
161,109,80,82
162,116,93,113
163,119,110,116
164,115,111,112
165,111,89,58
166,114,90,96
167,148,135,133
168,147,136,134
169,113,93,100
170,117,96,104
171,139,138,114
172,161,56,145
173,115,89,111
174,150,136,147
175,116,110,93
176,120,104,91
177,160,154,141
178,123,107,105
179,155,147,140
180,153,144,142
181,119,99,110
182,124,120,91
183,141,139,117
184,145,121,135
185,121,101,89
186,144,122,142
187,122,106,99
188,127,105,102
189,155,146,51
190,124,91,108
191,143,42,41
192,130,56,55
193,125,101,121
194,131,45,44
195,126,106,122
196,128,127,102
197,146,52,51
198,128,86,69
199,128,53,52
200,132,129,97
201,129,42,124
202,130,55,92
203,130,103,125
204,132,131,44
205,131,94,98
206,132,94,131
207,132,43,129
208,138,112,114
209,157,152,148
210,156,150,147
211,134,113,118
212,164,161,152
213,135,121,115
214,156,151,150
215,136,116,113
216,158,153,151
217,137,119,116
218,139,114,117
219,149,148,138
220,141,117,120
221,165,159,154
222,146,140,123
223,162,155,39
224,143,141,120
225,165,160,40
226,153,45,144
227,142,122,119
228,160,143,41
229,143,120,124
230,144,45,126
231,144,126,122
232,145,56,125
233,145,125,121
234,146,123,127
235,155,51,39
236,147,134,140
237,162,156,147
238,148,133,138
239,164,157,48
240,166,159,49
241,149,138,139
242,158,37,36
243,150,137,136
244,158,46,153
245,151,142,137
246,164,57,161
247,152,145,135
248,153,46,45
249,153,142,151
250,154,139,141
251,167,165,40
252,162,39,38
253,155,140,146
254,156,38,37
255,158,156,37
256,163,148,149
257,164,48,47
258,158,151,156
259,158,36,46
260,167,49,159
261,159,149,154
262,160,141,143
263,160,41,40
264,161,57,56
265,161,145,152
266,162,38,156
267,162,147,155
268,163,157,148
269,163,149,159
270,164,152,157
271,164,47,57
272,165,154,160
273,167,40,50
274,166,49,48
275,166,48,157
276,167,50,49
277,167,159,165
