node_id,x,y,bc_info,load_info,material,s11,s22,s33,s12,s23,s13,von_mises
1,3.95977569,11.9586601,0.0,0.0,STEEL,24.969048333333333,3.2380293,0.0,4.968599,0,0,25.04293565842368
2,3.53237319,11.7214327,0.0,0.0,STEEL,15.732623666666669,2.6324289333333333,0.0,4.8095112,0,0,16.805484513616644
3,2.86226034,11.0164738,0.0,0.0,STEEL,2.9371077,-0.3611947413333332,0.0,1.3929278,0,0,3.954576425683831
4,2.52445936,10.1043844,0.0,0.0,STEEL,-0.0606084266666666,-2.2652990666666666,0.0,-0.136753354,0,0,2.248123989008278
5,2.5737226,9.13299847,0.0,0.0,STEEL,0.6059198366666667,-1.6237524333333333,0.0,-0.2568932033333333,0,0,2.0458633815998324
6,2.74349403,8.67460155,0.0,0.0,STEEL,2.273444066666667,-0.4082267533333334,0.0,-1.12655793,0,0,3.173432842452612
7,3.33884931,7.90546608,0.0,0.0,STEEL,12.126730333333333,2.8386264000000003,0.0,-4.7925074,0,0,13.769404964756
8,4.18926859,7.43344498,0.0,0.0,STEEL,29.216127,3.5162122,0.0,-4.3761286,0,0,28.64729005495323
9,4.66808748,7.33504534,0.0,0.0,STEEL,36.30559366666667,3.546572266666667,0.0,-0.6435823433333333,0,0,34.68654623058742
10,5.63573122,7.43344498,0.0,0.0,STEEL,37.018805,6.6264105,0.0,9.490929,0,0,37.93721973790654
11,6.48615074,7.90546608,0.0,0.0,STEEL,22.242436666666663,9.299169133333336,0.0,12.467384,0,0,28.994333004064725
12,7.08150578,8.67460155,0.0,0.0,STEEL,6.4033315,1.3674915000000003,0.0,4.9431228,0,0,10.364341510736308
13,7.25127745,9.13299847,0.0,0.0,STEEL,2.5699616,-3.2928617,0.0,2.9434476000000003,0,0,7.204291793490145
14,7.30054045,10.1043844,0.0,0.0,STEEL,2.6897676666666666,-5.525381033333333,0.0,-1.629223876666667,0,0,7.783944259470305
15,6.96273947,11.0164738,0.0,0.0,STEEL,9.303201666666666,4.221038533333334,0.0,-7.610160666666666,0,0,15.454487728476304
16,6.29262686,11.7214327,0.0,0.0,STEEL,26.461515,9.181332666666666,0.0,-12.479315333333332,0,0,31.76092893979237
17,5.86522436,11.9586601,0.0,0.0,STEEL,34.609279333333326,7.802656,0.0,-11.127546,0,0,36.87961761634017
18,4.9124999,12.1544504,0.0,0.0,STEEL,38.90537433333333,3.951693166666667,0.0,-1.9795634666666664,0,0,37.2459117697005
19,8.93900013,0.0,0.0,-12.0946245193481,STEEL,11.601138,-0.5509689,0.0,-0.6301645,0,0,11.936212035549644
20,0.0,0.0,1.0,0.0,STEEL,15.4558685,3.2385932,0.0,3.37486885,0,0,15.280258690358789
21,8.93900013,17.6744995,0.0,-12.0944938659668,STEEL,11.202453,-0.85854745,0.0,0.98054045,0,0,11.778551401605544
22,0.0,17.6744995,1.0,0.0,STEEL,18.515923,5.554777,0.0,-4.8692484,0,0,18.492481412460435
23,4.42618275,12.1049967,0.0,0.0,STEEL,33.572995,3.391658333333333,0.0,2.6025329,0,0,32.328017937079494
24,3.16147304,11.4030256,0.0,0.0,STEEL,7.778375533333333,1.210881292,0.0,3.1535833666666666,0,0,9.07666977348853
25,2.64698458,10.5776043,0.0,0.0,STEEL,0.6228170983333333,-1.7277800213333332,0.0,0.223430636,0,0,2.1445231700427465
26,2.49970078,9.6161871,0.0,0.0,STEEL,-0.0249558083333333,-2.377636266666667,0.0,0.0344067266666666,0,0,2.3660077435419784
27,3.00206494,8.25976276,0.0,0.0,STEEL,5.992550833333333,1.3747314933333332,0.0,-2.9831742,0,0,7.500692550391543
28,3.7400589,7.62621593,0.0,0.0,STEEL,20.32805433333333,3.5690838,0.0,-5.6267639,0,0,21.17538756912809
29,5.15691233,7.33504534,0.0,0.0,STEEL,39.171741,4.564103033333334,0.0,4.619104633333333,0,0,37.95366715341167
30,6.08494091,7.62621593,0.0,0.0,STEEL,30.853380666666663,8.641498266666666,0.0,12.353165,0,0,34.89683670270002
31,6.8229351,8.25976276,0.0,0.0,STEEL,13.265492666666669,7.561193033333333,0.0,9.722862533333334,0,0,20.406963335294957
32,7.32529926,9.6161871,0.0,0.0,STEEL,1.4220476823333332,-7.291901906666666,0.0,1.5937658233333334,0,0,8.554750360608546
33,7.17801523,10.5776043,0.0,0.0,STEEL,5.939461866666666,-1.7265325666666669,0.0,-5.007565166666667,0,0,11.123844794218542
34,6.66352701,11.4030256,0.0,0.0,STEEL,17.177492,8.299431133333334,0.0,-10.994140333333334,0,0,24.166024531492614
35,5.39881706,12.1049967,0.0,0.0,STEEL,39.28205233333333,5.569279233333333,0.0,-7.1927151,0,0,38.865527655290286
36,6.70424986,0.0,0.0,0.0,STEEL,11.23922025,0.11868427,0.0,-0.4641587485,0,0,11.209218044299178
37,4.46950006,0.0,0.0,0.0,STEEL,10.844041333333331,0.47698329,0.0,0.3159579566666666,0,0,10.627690590013174
38,2.23475003,0.0,0.0,0.0,STEEL,13.494798333333334,0.9035105866666666,0.0,1.811685,0,0,13.437999400808572
39,8.93900013,15.7106667,0.0,-6.046946734189975,STEEL,12.29328075,-1.4637111399999998,0.0,1.03810348,0,0,13.209617344426276
40,8.93900013,13.7468338,0.0,-8.06267754236857,STEEL,13.856401333333332,-2.6183682866666667,0.0,-1.0147807333333334,0,0,15.434578453063848
41,8.93900013,11.783,0.0,-6.047830821946264,STEEL,13.40537125,3.791871185,0.0,-4.846615525,0,0,14.619161077447998
42,8.93900013,9.81916714,0.0,-4.838101100921632,STEEL,9.5254822,8.83144852,0.0,0.4432619400000001,0,0,9.230110068076566
43,8.93900013,7.85533333,0.0,-8.063903013865149,STEEL,12.379820166666669,4.401817183333333,0.0,4.278130999999999,0,0,13.15482615992201
44,8.93900013,5.8915,0.0,-6.04697424173355,STEEL,14.38798375,-2.27214252,0.0,1.84288461,0,0,15.970501831007834
45,8.93900013,3.92766666,0.0,-8.062451362609867,STEEL,12.815038333333334,-2.9806637,0.0,-0.7492200266666665,0,0,14.594206901940606
46,8.93900013,1.96383333,0.0,-6.04697048664094,STEEL,11.9842145,-0.8271802074999999,0.0,-0.885345125,0,0,12.512802934818732
47,2.23475003,17.6744995,0.0,0.0,STEEL,15.28650425,2.2732852125,0.0,-3.186528925,0,0,15.31523272921051
48,4.46950006,17.6744995,0.0,0.0,STEEL,11.784135999999998,1.0703237266666668,0.0,-1.3657187386666667,0,0,11.532310124460343
