ele_id,Node_1,Node_2,Node_3
1,169,160,158
2,104,93,72
3,171,163,42
4,83,65,14
5,85,83,33
6,107,69,63
7,100,68,80
8,86,80,30
9,87,29,67
10,77,67,9
11,81,28,74
12,145,121,141
13,75,74,7
14,103,79,78
15,82,78,26
16,91,4,84
17,73,3,66
18,76,66,2
19,88,1,71
20,92,71,22
21,115,94,92
22,92,17,62
23,114,102,88
24,98,73,66
25,132,84,98
26,82,5,64
27,79,6,78
28,121,118,106
29,125,112,120
30,87,86,10
31,80,68,11
32,89,31,68
33,85,13,69
34,90,15,65
35,72,16,70
36,48,36,18
37,144,120,138
38,106,77,81
39,81,77,8
40,191,20,52
41,93,62,72
42,117,116,93
43,90,70,34
44,97,96,83
45,107,63,100
46,100,89,68
47,127,101,125
48,161,144,157
49,192,21,61
50,115,92,62
51,140,116,139
52,170,156,162
53,53,19,39
54,159,154,145
55,110,75,108
56,136,103,95
57,132,95,64
58,99,98,66
59,134,99,129
60,88,76,23
61,180,174,169
62,62,17,35
63,72,35,16
64,63,32,12
65,89,12,31
66,64,5,25
67,91,25,4
68,65,15,14
69,83,14,33
70,66,3,2
71,76,2,23
72,67,29,9
73,77,9,8
74,68,31,11
75,80,11,30
76,69,13,32
77,69,32,63
78,70,16,34
79,90,34,15
80,71,1,22
81,92,22,17
82,104,72,70
83,72,62,35
84,98,84,73
85,73,24,3
86,74,28,7
87,75,7,27
88,79,27,6
89,136,131,103
90,88,23,1
91,102,76,88
92,81,8,28
93,167,161,157
94,78,6,26
95,82,26,5
96,108,79,103
97,79,75,27
98,86,30,10
99,109,100,80
100,110,74,75
101,106,105,77
102,95,82,64
103,95,78,82
104,85,33,13
105,97,83,85
106,84,4,24
107,84,24,73
108,107,97,69
109,97,85,69
110,87,10,29
111,109,86,101
112,112,67,105
113,112,87,67
114,114,71,94
115,102,99,76
116,100,63,89
117,89,63,12
118,96,90,65
119,113,90,96
120,132,56,95
121,91,64,25
122,115,62,93
123,94,71,92
124,187,51,183
125,139,116,117
126,143,119,140
127,148,123,143
128,132,64,91
129,136,56,55
130,96,65,83
131,113,104,70
132,137,44,43
133,137,97,44
134,134,57,98
135,132,98,57
136,152,134,129
137,99,66,76
138,135,133,46
139,135,107,100
140,153,133,127
141,101,86,87
142,114,88,71
143,129,102,126
144,103,78,95
145,151,131,55
146,113,70,90
147,142,139,117
148,120,105,118
149,105,67,77
150,111,81,74
151,121,106,111
152,107,45,44
153,107,44,97
154,130,124,110
155,108,75,79
156,133,109,127
157,109,80,86
158,124,121,111
159,111,74,110
160,164,159,141
161,111,106,81
162,138,120,118
163,112,101,87
164,128,122,113
165,122,117,104
166,123,94,119
167,126,114,123
168,116,115,93
169,119,115,116
170,117,93,104
171,155,140,139
172,122,104,113
173,142,117,122
174,186,175,167
175,118,105,106
176,158,140,155
177,119,94,115
178,157,138,154
179,120,112,105
180,124,111,110
181,146,124,130
182,128,113,96
183,171,162,147
184,165,150,148
185,123,114,94
186,130,110,108
187,190,173,178
188,149,125,144
189,125,101,112
190,150,129,126
191,126,102,114
192,153,127,149
193,127,109,101
194,137,128,96
195,163,147,128
196,152,129,150
197,129,99,102
198,131,130,108
199,146,141,124
200,131,108,103
201,151,55,54
202,132,91,84
203,132,57,56
204,135,46,45
205,133,100,109
206,134,58,57
207,134,98,99
208,135,45,107
209,135,100,133
210,136,95,56
211,136,55,131
212,163,137,43
213,137,96,97
214,145,118,121
215,167,157,154
216,182,176,170
217,168,158,155
218,184,60,179
219,140,119,116
220,178,173,164
221,141,121,124
222,147,142,122
223,156,155,139
224,160,143,158
225,143,123,119
226,166,153,149
227,144,125,120
228,159,145,141
229,145,138,118
230,151,146,130
231,178,172,53
232,147,122,128
233,177,171,42
234,165,59,150
235,148,126,123
236,166,149,161
237,149,127,125
238,152,150,59
239,150,126,148
240,172,151,54
241,151,130,131
242,152,59,58
243,152,58,134
244,153,47,46
245,153,46,133
246,188,37,186
247,154,138,145
248,156,139,142
249,181,168,176
250,162,156,142
251,170,168,156
252,175,48,166
253,157,144,138
254,189,184,180
255,158,143,140
256,164,141,146
257,173,167,159
258,174,160,169
259,160,148,143
260,175,166,161
261,161,149,144
262,162,142,147
263,191,182,40
264,163,128,137
265,163,43,42
266,172,164,146
267,190,178,39
268,179,59,165
269,165,148,160
270,166,48,47
271,166,47,153
272,167,154,159
273,186,36,175
274,185,181,183
275,168,155,156
276,169,158,168
277,192,184,189
278,177,170,162
279,182,177,41
280,171,147,163
281,177,42,41
282,172,146,151
283,172,54,53
284,190,188,173
285,173,159,164
286,184,179,174
287,174,165,160
288,175,161,167
289,175,36,48
290,185,183,51
291,176,168,170
292,177,162,171
293,182,41,40
294,178,164,172
295,178,53,39
296,179,60,59
297,179,165,174
298,181,180,169
299,189,185,50
300,181,169,168
301,183,181,176
302,182,170,177
303,191,187,182
304,187,183,176
305,185,51,50
306,184,61,60
307,184,174,180
308,189,50,49
309,185,180,181
310,188,186,167
311,186,37,36
312,187,176,182
313,187,52,51
314,188,167,173
315,188,38,37
316,192,189,49
317,189,180,185
318,190,39,38
319,190,38,188
320,191,40,20
321,191,52,187
322,192,49,21
323,192,61,184
