ele_id,Node_1,Node_2,Node_3
1,116,95,114
2,78,34,75
3,82,75,13
4,92,82,33
5,85,81,11
6,93,10,66
7,91,9,69
8,83,8,74
9,79,74,28
10,79,27,73
11,84,26,72
12,88,25,70
13,96,70,68
14,87,80,58
15,90,3,65
16,71,65,22
17,89,1,76
18,94,15,64
19,146,133,132
20,115,111,76
21,143,124,137
22,86,71,2
23,90,58,80
24,87,58,68
25,70,5,68
26,122,120,100
27,175,171,167
28,136,120,122
29,109,74,106
30,107,69,102
31,104,97,93
32,97,67,81
33,92,12,67
34,112,105,78
35,77,64,35
36,49,36,16
37,135,117,134
38,158,149,151
39,39,18,52
40,179,173,52
41,118,114,105
42,78,77,14
43,113,98,82
44,113,97,44
45,93,85,31
46,145,104,103
47,107,103,91
48,106,74,79
49,165,48,160
50,178,19,63
51,114,64,77
52,180,159,164
53,53,17,38
54,182,181,171
55,134,117,120
56,84,73,7
57,130,56,126
58,96,58,57
59,90,80,23
60,131,71,86
61,89,86,21
62,94,76,20
63,176,172,62
64,64,15,35
65,77,35,14
66,65,3,22
67,71,22,2
68,66,10,30
69,91,30,9
70,67,12,32
71,81,67,32
72,68,5,24
73,87,68,24
74,69,9,29
75,83,29,8
76,88,72,6
77,70,25,5
78,131,108,65
79,86,2,21
80,72,26,6
81,88,6,25
82,73,27,7
83,84,7,26
84,74,8,28
85,79,28,27
86,75,34,13
87,82,13,33
88,76,1,20
89,94,20,15
90,78,14,34
91,114,77,105
92,112,75,98
93,112,78,75
94,100,79,73
95,106,79,100
96,80,4,23
97,90,23,3
98,81,32,11
99,85,11,31
100,92,33,12
101,144,42,127
102,109,83,74
103,83,69,29
104,130,72,88
105,110,84,101
106,93,31,10
107,97,85,93
108,89,21,1
109,131,86,99
110,87,24,4
111,87,4,80
112,130,70,96
113,130,101,72
114,111,89,76
115,99,86,89
116,108,90,65
117,108,58,90
118,107,91,69
119,91,66,30
120,113,92,67
121,113,82,92
122,104,66,103
123,145,44,97
124,95,94,64
125,115,94,95
126,146,137,133
127,133,116,132
128,96,68,58
129,130,96,57
130,113,44,43
131,97,81,85
132,123,118,105
133,98,75,82
134,111,99,89
135,131,99,60
136,110,73,84
137,160,153,149
138,101,84,72
139,126,122,110
140,138,121,135
141,102,69,83
142,145,128,142
143,103,66,91
144,145,97,104
145,104,93,66
146,105,77,78
147,118,116,114
148,120,106,100
149,117,109,106
150,125,102,121
151,128,107,125
152,131,65,71
153,108,59,58
154,121,109,117
155,109,102,83
156,141,136,122
157,110,100,73
158,115,76,94
159,129,111,124
160,144,127,98
161,140,127,42
162,113,67,97
163,144,113,43
164,139,118,123
165,114,95,64
166,119,95,116
167,124,115,119
168,132,116,118
169,156,152,146
170,120,117,106
171,151,134,147
172,123,105,112
173,148,146,132
174,137,119,133
175,119,115,95
176,122,100,110
177,150,136,141
178,149,138,135
179,121,102,109
180,126,110,101
181,136,134,120
182,127,123,112
183,139,132,118
184,143,60,129
185,124,111,115
186,142,128,125
187,125,107,102
188,130,126,101
189,155,141,126
190,127,112,98
191,161,140,42
192,145,142,45
193,128,103,107
194,129,60,99
195,129,99,111
196,130,88,70
197,130,57,56
198,131,60,59
199,131,59,108
200,159,148,154
201,176,166,172
202,152,61,143
203,133,119,116
204,147,134,136
205,174,48,165
206,153,46,142
207,135,121,117
208,141,122,126
209,155,150,141
210,152,143,137
211,137,124,119
212,153,142,138
213,138,125,121
214,140,139,123
215,159,156,148
216,154,148,139
217,140,123,127
218,155,126,56
219,150,147,136
220,142,46,45
221,142,125,138
222,143,61,60
223,143,129,124
224,144,98,113
225,144,43,42
226,145,103,128
227,145,45,44
228,148,132,139
229,168,166,162
230,169,163,55
231,163,157,150
232,154,139,140
233,179,52,51
234,160,149,158
235,151,149,135
236,169,55,54
237,175,169,53
238,151,135,134
239,157,151,147
240,176,61,152
241,152,137,146
242,153,47,46
243,153,138,149
244,161,154,140
245,164,159,154
246,155,56,55
247,163,155,55
248,166,156,162
249,156,146,148
250,174,36,49
251,157,147,150
252,165,160,158
253,158,151,157
254,164,154,161
255,180,39,173
256,160,48,47
257,160,47,153
258,161,42,41
259,164,161,41
260,178,177,50
261,162,156,159
262,163,150,155
263,169,167,163
264,164,41,40
265,180,173,162
266,170,158,157
267,181,174,171
268,177,172,168
269,166,152,156
270,171,170,167
271,167,157,163
272,173,168,162
273,177,51,50
274,169,54,53
275,175,53,38
276,170,165,158
277,170,157,167
278,182,171,175
279,171,165,170
280,178,62,172
281,172,166,168
282,180,162,159
283,173,39,52
284,174,49,48
285,174,165,171
286,182,38,37
287,175,167,169
288,176,62,61
289,176,152,166
290,179,177,168
291,178,50,19
292,178,63,62
293,178,172,177
294,179,51,177
295,179,168,173
296,180,164,40
297,180,40,39
298,181,37,36
299,181,36,174
300,182,175,38
301,182,37,181
