ele_id,Node_1,Node_2,Node_3
1,146,145,130
2,94,81,63
3,74,33,65
4,87,32,62
5,79,43,62
6,79,71,43
7,89,10,61
8,83,9,78
9,80,78,28
10,76,7,69
11,149,131,144
12,153,149,144
13,75,69,27
14,77,72,5
15,140,125,55
16,105,70,96
17,67,1,66
18,110,92,66
19,90,66,21
20,88,24,64
21,90,16,60
22,92,67,66
23,84,22,67
24,85,23,70
25,82,77,25
26,72,68,26
27,75,6,68
28,80,8,76
29,78,9,28
30,61,10,29
31,73,71,11
32,79,62,12
33,138,74,65
34,86,14,74
35,81,15,63
36,176,17,47
37,97,76,69
38,131,114,127
39,174,19,50
40,156,134,142
41,142,120,94
42,138,124,74
43,62,43,42
44,107,43,71
45,107,100,44
46,118,102,114
47,172,170,169
48,59,48,20
49,128,115,111
50,129,128,111
51,175,18,38
52,162,153,158
53,104,97,69
54,141,133,119
55,95,72,77
56,88,82,4
57,105,85,70
58,84,70,2
59,154,147,145
60,60,16,35
61,81,35,15
62,89,73,30
63,83,29,9
64,87,65,13
65,62,32,12
66,63,15,34
67,86,34,14
68,64,24,3
69,85,3,23
70,65,33,13
71,87,13,32
72,66,1,21
73,90,21,16
74,108,96,84
75,67,22,1
76,68,6,26
77,72,26,5
78,69,7,27
79,75,27,6
80,70,23,2
81,84,2,22
82,71,31,11
83,73,11,30
84,77,5,25
85,99,93,68
86,89,30,10
87,107,71,73
88,124,101,86
89,74,14,33
90,93,75,68
91,104,75,93
92,114,97,113
93,76,8,7
94,82,25,4
95,126,99,95
96,103,78,80
97,80,28,8
98,79,12,31
99,79,31,71
100,102,76,97
101,103,80,102
102,109,81,94
103,81,60,35
104,88,4,24
105,125,82,88
106,106,83,78
107,83,61,29
108,108,67,92
109,108,84,67
110,105,98,85
111,85,64,3
112,124,86,74
113,86,63,34
114,87,62,42
115,138,87,42
116,125,64,98
117,125,95,82
118,107,61,100
119,107,89,61
120,91,90,60
121,110,90,91
122,109,60,81
123,129,111,112
124,136,115,128
125,110,66,90
126,99,68,72
127,113,97,104
128,101,94,63
129,120,117,109
130,140,54,126
131,95,77,82
132,151,139,123
133,96,70,84
134,104,69,75
135,127,114,113
136,139,125,98
137,98,64,85
138,99,72,95
139,119,116,93
140,143,44,100
141,100,61,83
142,101,63,86
143,142,101,124
144,135,118,131
145,102,80,76
146,122,103,118
147,106,78,103
148,116,113,104
149,116,104,93
150,123,96,121
151,139,105,123
152,143,106,122
153,106,100,83
154,107,44,43
155,107,73,89
156,115,92,111
157,121,108,115
158,117,112,91
159,109,91,60
160,112,111,110
161,112,110,91
162,159,157,154
163,111,92,110
164,117,91,109
165,130,129,112
166,148,144,132
167,163,162,158
168,144,131,127
169,114,102,97
170,150,137,136
171,115,108,92
172,119,93,99
173,132,127,113
174,120,109,94
175,161,156,39
176,167,135,155
177,118,103,102
178,126,119,99
179,152,141,54
180,142,94,101
181,134,130,117
182,137,123,121
183,121,96,108
184,167,122,135
185,122,106,103
186,151,56,139
187,123,105,96
188,124,42,41
189,142,124,41
190,125,88,64
191,139,55,125
192,140,126,95
193,141,126,54
194,132,113,116
195,173,170,46
196,157,58,150
197,147,128,145
198,130,112,117
199,145,129,130
200,134,117,120
201,160,154,145
202,169,149,153
203,131,118,114
204,133,132,116
205,148,132,133
206,152,148,133
207,133,116,119
208,142,134,120
209,156,146,134
210,173,167,155
211,135,122,118
212,150,57,137
213,136,121,115
214,151,137,57
215,137,121,136
216,138,65,87
217,138,42,124
218,139,56,55
219,139,98,105
220,140,95,125
221,140,55,54
222,141,119,126
223,152,54,53
224,142,41,40
225,156,142,40
226,143,45,44
227,143,100,106
228,144,127,132
229,164,153,162
230,171,48,159
231,145,128,129
232,174,168,161
233,146,130,134
234,157,150,147
235,147,136,128
236,163,53,52
237,158,153,144
238,169,153,164
239,149,135,131
240,150,58,57
241,150,136,147
242,151,123,137
243,151,57,56
244,163,152,53
245,152,133,141
246,158,144,148
247,165,164,162
248,160,145,146
249,159,59,157
250,173,45,167
251,155,135,149
252,156,40,39
253,174,161,39
254,157,59,58
255,157,147,154
256,163,158,148
257,166,52,51
258,171,154,160
259,159,48,59
260,161,160,146
261,171,160,168
262,168,50,49
263,161,146,156
264,175,166,51
265,172,165,37
266,163,148,152
267,166,163,52
268,172,37,36
269,172,169,164
270,166,165,162
271,175,37,165
272,166,162,163
273,175,51,18
274,167,45,143
275,167,143,122
276,171,168,49
277,168,160,161
278,173,169,170
279,169,155,149
280,176,170,172
281,170,47,46
282,171,49,48
283,171,159,154
284,172,164,165
285,176,172,36
286,173,155,169
287,173,46,45
288,174,39,19
289,174,50,168
290,175,38,37
291,175,165,166
292,176,36,17
293,176,47,170
