ele_id,Node_1,Node_2,Node_3
1,107,87,71
2,164,135,163
3,88,33,70
4,82,70,12
5,89,31,75
6,126,117,93
7,149,115,148
8,79,8,72
9,162,132,157
10,84,72,28
11,266,240,256
12,77,25,76
13,262,150,171
14,90,23,78
15,127,78,110
16,91,2,83
17,74,21,1
18,86,74,1
19,87,35,14
20,131,100,99
21,86,20,68
22,83,21,74
23,85,78,3
24,94,4,90
25,76,5,73
26,81,6,77
27,160,157,130
28,92,7,80
29,132,104,130
30,79,29,8
31,95,30,69
32,93,11,89
33,170,141,167
34,96,13,88
35,87,14,71
36,51,36,16
37,242,51,50
38,157,132,130
39,112,84,92
40,92,84,27
41,41,18,56
42,158,131,133
43,244,236,230
44,125,107,71
45,111,70,109
46,109,70,82
47,114,89,75
48,95,75,10
49,123,115,95
50,120,72,104
51,248,242,235
52,67,52,19
53,246,241,234
54,133,99,129
55,129,98,87
56,255,253,55
57,57,17,40
58,247,231,58
59,136,134,121
60,81,80,26
61,105,76,73
62,102,94,90
63,156,110,154
64,124,74,113
65,144,113,138
66,159,131,158
67,252,66,241
68,68,20,15
69,98,15,35
70,69,30,9
71,97,9,29
72,70,33,12
73,82,12,32
74,71,14,34
75,96,34,13
76,72,8,28
77,84,28,27
78,73,5,24
79,94,24,4
80,124,83,74
81,86,1,20
82,75,31,10
83,95,10,30
84,108,76,105
85,76,25,5
86,118,116,81
87,77,6,25
88,78,23,3
89,85,3,22
90,120,79,72
91,97,29,79
92,80,7,26
93,81,26,6
94,118,77,108
95,118,81,77
96,93,32,11
97,117,82,93
98,91,85,22
99,83,2,21
100,92,27,7
101,134,112,121
102,91,22,2
103,119,85,91
104,100,68,99
105,113,86,100
106,129,87,107
107,98,35,87
108,106,96,88
109,88,13,33
110,126,89,114
111,89,11,31
112,122,105,73
113,90,4,23
114,103,91,83
115,119,91,103
116,121,80,116
117,112,104,84
118,117,109,82
119,93,82,32
120,122,94,102
121,94,73,24
122,123,69,101
123,115,114,75
124,125,96,106
125,96,71,34
126,128,97,79
127,97,69,9
128,234,219,228
129,98,68,15
130,227,211,219
131,99,68,98
132,138,100,131
133,100,86,68
134,169,146,143
135,101,69,97
136,127,90,78
137,171,156,61
138,155,154,119
139,119,110,85
140,183,157,181
141,104,72,84
142,122,73,94
143,150,147,108
144,111,88,70
145,189,187,163
146,125,71,96
147,135,133,129
148,178,147,174
149,108,77,76
150,173,167,145
151,145,141,111
152,156,154,62
153,110,78,85
154,141,140,106
155,111,106,88
156,121,92,80
157,185,160,161
158,168,138,159
159,113,74,86
160,115,75,95
161,199,153,149
162,123,95,69
163,172,148,146
164,161,160,134
165,116,80,81
166,126,93,89
167,151,145,109
168,147,142,118
169,142,136,116
170,155,103,152
171,155,119,103
172,139,120,132
173,128,79,120
174,134,130,112
175,121,112,92
176,171,102,156
177,171,122,102
178,146,101,143
179,148,123,146
180,152,124,144
181,124,103,83
182,140,137,125
183,137,135,107
184,149,126,114
185,153,151,117
186,156,127,110
187,127,102,90
188,143,128,139
189,128,101,97
190,133,131,99
191,129,99,98
192,193,192,176
193,130,104,112
194,205,182,203
195,182,159,158
196,176,169,143
197,132,120,104
198,135,129,107
199,164,133,135
200,136,121,116
201,185,181,160
202,137,107,125
203,163,135,137
204,142,116,118
205,188,185,161
206,140,125,106
207,165,137,140
208,191,168,186
209,138,113,100
210,176,139,162
211,139,128,120
212,141,106,111
213,165,163,137
214,145,111,109
215,167,141,145
216,147,118,108
217,166,161,136
218,194,172,169
219,143,101,128
220,175,144,168
221,144,124,113
222,151,109,117
223,173,145,151
224,197,177,172
225,146,123,101
226,150,108,105
227,198,178,174
228,177,149,148
229,148,115,123
230,264,199,46
231,149,114,115
232,171,150,105
233,262,60,174
234,153,117,126
235,173,45,167
236,180,155,152
237,152,103,124
238,153,126,149
239,264,153,199
240,179,62,154
241,154,110,119
242,180,152,175
243,179,154,155
244,156,62,61
245,156,102,127
246,160,130,134
247,202,183,181
248,236,206,220
249,206,184,187
250,186,159,182
251,159,138,131
252,161,134,136
253,204,202,181
254,166,136,142
255,217,204,207
256,213,194,192
257,162,139,132
258,206,203,184
259,187,184,164
260,184,182,158
261,164,158,133
262,170,140,141
263,210,208,189
264,178,142,147
265,212,207,188
266,195,45,44
267,195,170,167
268,216,200,191
269,168,144,138
270,176,143,139
271,215,197,194
272,190,189,165
273,170,165,140
274,262,174,150
275,171,105,122
276,197,47,177
277,172,146,169
278,264,173,151
279,173,46,45
280,198,60,59
281,174,147,150
282,180,179,155
283,175,152,144
284,193,162,183
285,193,176,162
286,199,177,47
287,177,148,172
288,196,188,166
289,178,166,142
290,201,63,179
291,179,63,62
292,200,180,175
293,201,180,200
294,229,202,217
295,181,157,160
296,184,158,164
297,218,205,203
298,214,213,192
299,183,162,157
300,187,164,163
301,221,208,210
302,188,161,166
303,207,204,185
304,211,186,205
305,186,168,159
306,189,163,165
307,208,206,187
308,196,166,178
309,243,207,224
310,190,165,170
311,251,239,42
312,195,190,170
313,232,222,43
314,216,64,200
315,191,175,168
316,214,192,193
317,192,169,176
318,209,183,202
319,214,193,209
320,194,169,192
321,215,48,197
322,195,167,45
323,222,195,44
324,198,196,178
325,231,223,58
326,197,172,194
327,197,48,47
328,198,174,60
329,223,198,59
330,199,149,177
331,199,47,46
332,201,200,64
333,200,175,191
334,201,64,63
335,201,179,180
336,204,181,185
337,229,225,209
338,228,219,218
339,203,182,184
340,207,185,188
341,265,260,261
342,219,205,218
343,205,186,182
344,208,187,189
345,239,230,221
346,212,188,196
347,231,224,212
348,210,189,190
349,221,220,208
350,235,226,225
351,209,193,183
352,222,210,190
353,239,232,43
354,233,216,227
355,211,191,186
356,223,212,196
357,256,247,57
358,226,49,213
359,215,213,49
360,225,214,209
361,226,213,214
362,215,194,213
363,215,49,48
364,233,64,216
365,216,191,211
366,263,258,235
367,217,202,204
368,236,203,206
369,238,234,228
370,246,234,238
371,219,211,205
