node_id,x,y,bc_info,load_info,material,s11,s22,s33,s12,s23,s13,von_mises
1,3.63882995,12.0062361,0.0,0.0,ALU,31.638848,4.657485866666667,0.0,6.7057496,0,0,31.78447141390571
2,2.92809319,11.511549,0.0,0.0,ALU,10.691127033333332,3.094490233333333,0.0,4.811080333333333,0,0,12.658276374785414
3,2.66170096,11.1673985,0.0,0.0,ALU,4.4089927,1.684192072,0.0,2.5815493666666662,0,0,5.902823088218574
4,2.36095357,10.3553562,0.0,0.0,ALU,0.5607164966666666,-1.80169085,0.0,0.114744467,0,0,2.147144514982071
5,2.40481281,9.49052143,0.0,0.0,ALU,1.3516417333333333,-0.1019323233333333,0.0,-1.4450048000000002,0,0,2.8704038343220195
6,2.78617048,8.71307087,0.0,0.0,ALU,8.344880866666667,3.280640033333333,0.0,-4.502001866666666,0,0,10.668980639451698
7,3.44321394,8.14901829,0.0,0.0,ALU,26.541255333333336,5.1953486,0.0,-7.753389899999999,0,0,27.818770153094608
8,4.26944685,7.88978577,0.0,0.0,ALU,45.45477333333333,4.517532566666667,0.0,-1.413757333333333,0,0,43.441883359546935
9,4.70465279,7.88978577,0.0,0.0,ALU,48.27311066666667,5.368776633333333,0.0,4.9541708,0,0,46.62167792300141
10,5.53088617,8.14901829,0.0,0.0,ALU,35.498067666666664,9.082581133333331,0.0,13.158843333333332,0,0,39.238469415427055
11,6.18792963,8.71307087,0.0,0.0,ALU,13.968504666666666,5.230463899999999,0.0,8.746900266666666,0,0,19.466378930375065
12,6.5692873,9.49052143,0.0,0.0,ALU,2.069297966666667,-6.634208933333333,0.0,1.6305268066666667,0,0,8.366524386143562
13,6.61314631,10.3553562,0.0,0.0,ALU,1.2179163166666669,-8.495188533333334,0.0,-1.1176613533333333,0,0,9.367255617382924
14,6.31239891,11.1673985,0.0,0.0,ALU,9.042260666666666,2.9909914866666667,0.0,-6.765360666666666,0,0,14.176512201993832
15,6.04600668,11.511549,0.0,0.0,ALU,18.80616566666667,7.664398766666667,0.0,-10.842861333333332,0,0,24.91946725507891
16,5.33526993,12.0062361,0.0,0.0,ALU,41.12250766666667,8.549919166666667,0.0,-12.440675,0,0,43.3229595184567
17,4.48705006,12.1805496,0.0,0.0,ALU,48.24809966666667,4.782233633333333,0.0,-1.9272196333333331,0,0,46.16446383901094
18,9.29810047,0.0,0.0,-17.54811668396,ALU,16.569279,-0.59704065,0.0,-0.5403205,0,0,16.90165187045176
19,0.0,0.0,1.0,0.0,ALU,22.506403,7.4271126,0.0,5.900179,0,0,22.337836174652928
20,9.29810047,18.5228996,0.0,-17.5480899810791,ALU,16.448187,-0.74517435,0.0,0.6748189,0,0,16.87367918086219
21,0.0,18.5228996,1.0,0.0,ALU,23.318225,5.1527125,0.0,-5.1774261,0,0,23.03378338193386
22,4.05407715,12.1365213,0.0,0.0,ALU,42.03159366666667,4.3894895,0.0,3.692185833333333,0,0,40.52557160418452
23,3.25830913,11.7950296,0.0,0.0,ALU,20.189233,4.361935066666667,0.0,6.805085933333333,0,0,21.851660507669777
24,2.47003889,10.7766685,0.0,0.0,ALU,1.5206848533333333,-0.547265228,0.0,1.18715974,0,0,2.769881647424945
25,2.33891058,9.92070866,0.0,0.0,ALU,0.5582776286666666,-1.6733448199999998,0.0,-0.3268870566666667,0,0,2.089620352789077
26,2.55596232,9.08240604,0.0,0.0,ALU,3.651098866666667,2.10609731,0.0,-2.7495402666666666,0,0,5.723330703864433
27,3.08601284,8.39763737,0.0,0.0,ALU,16.297245333333333,4.8106063,0.0,-6.948672999999999,0,0,18.846609157566323
28,3.8431499,7.97739172,0.0,0.0,ALU,37.23464933333333,4.777305133333333,0.0,-6.0393058,0,0,36.61666447880001
29,5.13094997,7.97739172,0.0,0.0,ALU,44.42837933333334,7.352160633333334,0.0,10.567101,0,0,45.125175293400986
30,5.88808727,8.39763737,0.0,0.0,ALU,24.511899666666665,8.758368466666667,0.0,12.216029333333331,0,0,30.175356044073204
31,6.41813755,9.08240604,0.0,0.0,ALU,6.209765933333333,-1.0943115666666667,0.0,4.384792366666667,0,0,10.209473137003776
32,6.63518953,9.92070866,0.0,0.0,ALU,0.7512855833333333,-10.381324,0.0,0.0045634599999999,0,0,10.77662839450792
33,6.50406122,10.7766685,0.0,0.0,ALU,3.331707,-3.0123883133333336,0.0,-3.376927633333333,0,0,8.026336077982151
