ele_id,Node_1,Node_2,Node_3
1,61,58,35
2,69,61,17
3,73,34,62
4,86,62,15
5,130,108,90
6,70,59,32
7,76,31,71
8,71,11,66
9,123,111,122
10,82,29,81
11,114,105,98
12,141,118,128
13,72,27,67
14,101,67,63
15,101,78,54
16,85,4,60
17,83,3,75
18,84,2,64
19,137,129,121
20,80,64,1
21,136,115,134
22,81,9,68
23,88,18,58
24,64,2,1
25,95,83,75
26,60,4,25
27,67,6,63
28,74,7,72
29,68,8,65
30,77,66,30
31,66,11,30
32,79,12,76
33,87,14,59
34,73,69,16
35,112,61,91
36,46,167,19
37,111,77,103
38,105,68,98
39,98,68,65
40,168,21,50
41,142,134,119
42,126,125,94
43,87,86,33
44,109,90,70
45,107,71,92
46,143,122,140
47,57,163,22
48,88,80,23
49,113,96,80
50,119,115,112
51,169,20,39
52,118,114,98
53,99,72,67
54,101,63,78
55,95,93,60
56,95,75,84
57,129,96,121
58,58,18,35
59,61,35,17
60,59,14,32
61,70,32,13
62,85,78,26
63,83,25,3
64,69,17,16
65,110,69,73
66,62,34,15
67,86,15,33
68,63,6,5
69,78,63,5
70,84,75,24
71,80,1,23
72,65,8,28
73,74,28,7
74,92,71,66
75,77,30,10
76,147,53,52
77,67,27,6
78,135,114,133
79,68,9,8
80,73,16,34
81,124,119,91
82,79,13,12
83,131,43,130
84,127,107,92
85,71,31,11
86,100,72,99
87,72,7,27
88,94,73,62
89,110,73,94
90,104,74,100
91,74,65,28
92,75,3,24
93,84,24,2
94,109,79,76
95,76,12,31
96,82,10,29
97,122,103,120
98,78,5,26
99,85,26,4
100,109,70,79
101,79,70,13
102,88,23,18
103,113,80,88
104,97,82,81
105,81,29,9
106,103,82,97
107,82,77,10
108,95,60,83
109,83,60,25
110,102,64,96
111,102,95,84
112,93,85,60
113,85,54,78
114,87,33,14
115,108,86,87
116,90,87,59
117,108,106,86
118,89,88,58
119,113,88,89
120,112,58,61
121,163,137,152
122,146,130,42
123,90,59,70
124,142,119,124
125,91,61,69
126,111,66,77
127,162,149,127
128,93,55,54
129,93,54,85
130,106,94,62
131,126,94,106
132,132,55,95
133,95,55,93
134,138,117,136
135,96,64,80
136,105,81,68
137,120,97,116
138,104,65,74
139,151,135,133
140,101,99,67
141,147,100,99
142,128,118,104
143,100,74,72
144,101,54,53
145,101,53,99
146,132,102,129
147,102,84,64
148,158,140,156
149,103,77,82
150,141,133,118
151,104,98,65
152,116,105,114
153,105,97,81
154,144,126,42
155,106,62,86
156,149,109,107
157,107,76,71
158,108,87,90
159,146,108,130
160,109,76,107
161,149,131,109
162,148,125,144
163,110,91,69
164,140,120,139
165,111,92,66
166,119,112,91
167,112,89,58
168,117,89,115
169,121,113,117
170,118,98,104
171,157,135,151
172,153,136,134
173,115,89,112
174,139,116,135
175,116,97,105
176,138,137,121
177,117,113,89
178,128,104,100
179,169,141,51
180,124,91,110
181,154,153,134
182,156,140,139
183,120,103,97
184,150,129,137
185,121,96,113
186,159,145,143
187,122,111,103
188,145,123,143
189,123,92,111
190,125,124,110
191,165,164,154
192,125,110,94
193,144,125,126
194,146,126,106
195,144,42,41
196,127,92,123
197,162,44,149
198,147,128,100
199,141,52,51
200,150,132,129
201,129,102,96
202,131,130,90
203,130,43,42
204,131,44,43
205,131,90,109
206,132,56,55
207,132,95,102
208,151,39,38
209,133,114,118
210,164,155,153
211,134,115,119
212,166,156,157
213,135,116,114
214,155,138,136
215,136,117,115
216,138,121,117
217,163,150,137
218,155,136,153
219,152,48,47
220,158,156,37
221,139,120,116
222,167,159,158
223,140,122,120
224,141,128,52
225,169,151,133
226,148,124,125
227,160,154,142
228,159,45,145
229,143,123,122
230,161,41,40
231,161,148,144
232,162,145,45
233,145,127,123
234,146,42,126
235,146,106,108
236,147,99,53
237,147,52,128
238,168,165,160
239,148,142,124
240,149,44,131
241,149,107,127
242,150,57,56
243,150,56,132
244,169,133,141
245,157,156,139
246,163,152,47
247,152,137,138
248,154,134,142
249,164,153,154
250,160,142,148
251,165,49,164
252,155,48,152
253,155,152,138
254,157,139,135
255,167,37,36
256,157,151,38
257,166,157,38
258,167,46,159
259,158,143,140
260,159,46,45
261,159,143,158
262,161,160,148
263,168,50,165
264,161,144,41
265,168,161,40
266,162,127,145
267,162,45,44
268,22,163,47
269,163,57,150
270,164,49,48
271,164,48,155
272,165,50,49
273,165,154,160
274,166,38,37
275,166,37,156
276,167,158,37
277,19,167,36
278,168,160,161
279,168,40,21
280,20,169,51
281,169,39,151
