ele_id,Node_1,Node_2,Node_3
1,117,65,101
2,82,65,15
3,67,33,64
4,75,64,13
5,99,85,78
6,90,11,77
7,132,95,128
8,89,80,29
9,138,123,122
10,76,8,70
11,153,139,145
12,81,27,73
13,87,26,84
14,100,84,63
15,74,24,3
16,97,74,88
17,86,1,71
18,113,94,86
19,92,35,65
20,104,83,57
21,141,121,136
22,71,21,62
23,72,68,2
24,88,23,68
25,83,79,4
26,84,5,63
27,109,81,73
28,81,7,27
29,89,9,69
30,80,66,10
31,77,30,66
32,85,12,78
33,129,127,105
34,91,14,67
35,120,119,117
36,197,17,48
37,110,108,89
38,126,122,106
39,106,76,98
40,52,40,19
41,166,163,154
42,114,82,91
43,96,67,64
44,103,75,102
45,161,150,135
46,95,77,66
47,128,112,125
48,164,155,152
49,198,20,61
50,136,121,119
51,117,92,65
52,179,166,170
53,53,18,39
54,183,165,180
55,131,126,98
56,109,87,100
57,63,104,100
58,88,74,3
59,118,68,72
60,116,62,93
61,178,162,174
62,62,21,16
63,92,16,35
64,63,5,25
65,79,63,25
66,64,33,13
67,75,13,32
68,65,35,15
69,82,15,34
70,66,30,10
71,80,10,29
72,91,82,34
73,67,14,33
74,68,23,2
75,72,2,22
76,69,9,28
77,76,28,8
78,70,8,7
79,111,70,81
80,86,72,22
81,71,1,21
82,86,22,1
83,134,118,94
84,73,27,6
85,87,6,26
86,83,74,57
87,88,3,23
88,85,32,12
89,133,103,102
90,98,76,70
91,76,69,28
92,90,78,31
93,77,11,30
94,78,12,31
95,90,31,11
96,79,25,4
97,104,56,100
98,89,29,9
99,112,80,108
100,111,81,109
101,81,70,7
102,91,34,14
103,140,137,120
104,83,4,24
105,83,24,74
106,100,87,84
107,84,26,5
108,102,85,99
109,85,75,32
110,116,71,62
111,113,86,71
112,181,109,100
113,87,73,6
114,118,88,68
115,118,97,88
116,110,69,106
117,110,89,69
118,107,77,95
119,115,90,107
120,105,67,96
121,114,91,105
122,171,141,136
123,92,62,16
124,171,136,151
125,93,62,92
126,118,59,58
127,94,72,86
128,112,66,80
129,146,132,128
130,103,64,75
131,159,147,129
132,97,58,57
133,97,57,74
134,153,152,139
135,139,138,122
136,115,78,90
137,150,133,102
138,104,63,79
139,181,100,56
140,137,136,119
141,101,65,82
142,133,44,43
143,102,75,85
144,133,129,103
145,103,96,64
146,104,79,83
147,104,57,56
148,127,124,114
149,105,91,67
150,143,142,125
151,106,69,76
152,135,115,107
153,107,90,77
154,125,108,123
155,108,80,89
156,181,144,109
157,109,73,87
158,122,110,106
159,123,110,122
160,175,165,145
161,111,98,70
162,143,123,138
163,112,95,66
164,116,113,71
165,134,94,113
166,124,120,101
167,114,101,82
168,150,115,135
169,115,99,78
170,121,93,119
171,130,116,121
172,120,117,101
173,117,93,92
174,118,58,97
175,118,72,94
176,198,178,185
177,119,93,117
178,124,101,114
179,154,137,140
180,149,134,130
181,121,116,93
182,126,106,98
183,176,168,167
184,143,125,123
185,123,108,110
186,127,114,105
187,160,148,147
188,142,128,125
189,125,112,108
190,131,98,111
191,145,139,126
192,129,105,96
193,148,127,147
194,161,146,46
195,128,95,112
196,129,96,103
197,169,159,43
198,149,130,141
199,130,113,116
200,144,131,111
201,180,165,175
202,161,135,132
203,132,107,95
204,150,102,99
205,159,133,43
206,134,59,118
207,134,113,130
208,135,107,132
209,150,45,44
210,137,119,120
211,190,163,173
212,140,120,124
213,154,151,137
214,139,122,126
215,188,176,167
216,145,126,131
217,165,164,153
218,148,124,127
219,166,154,156
220,162,149,141
221,141,130,121
222,168,158,157
223,158,142,157
224,155,138,152
225,157,143,155
226,144,111,109
227,180,55,54
228,175,131,144
229,196,189,191
230,146,128,142
231,161,46,45
232,177,170,160
233,147,127,129
234,156,154,140
235,148,140,124
236,172,59,149
237,149,59,134
238,150,44,133
239,150,99,115
240,174,171,163
241,151,136,137
242,197,168,176
243,152,138,139
244,165,153,145
245,192,191,37
246,156,140,148
247,186,182,179
248,167,157,155
249,155,143,138
250,160,156,148
251,194,182,186
252,158,47,46
253,157,142,143
254,158,46,146
255,158,146,142
256,159,129,133
257,169,43,42
258,169,160,147
259,177,160,169
260,161,45,150
261,161,132,146
262,185,178,174
263,178,172,162
264,187,173,182
265,163,151,154
266,192,176,188
267,164,152,153
268,175,145,131
269,184,183,180
270,170,166,156
271,179,173,166
272,168,48,47
273,167,155,164
274,168,47,158
275,168,157,167
276,177,169,42
277,169,147,159
278,170,156,160
279,195,40,186
280,171,162,141
281,171,151,163
282,172,60,59
283,172,149,162
284,190,185,174
285,173,163,166
286,199,198,185
287,174,162,171
288,175,144,55
289,180,175,55
290,188,167,164
291,197,192,36
292,177,42,41
293,195,186,179
294,178,61,60
295,178,60,172
296,195,170,177
297,194,186,52
298,184,54,53
299,189,184,39
300,181,56,55
301,181,55,144
302,193,187,182
303,182,173,179
304,189,183,184
305,183,164,165
306,184,180,54
307,184,53,39
308,190,187,185
309,199,49,198
310,195,179,170
311,186,40,52
312,194,193,182
313,199,187,193
314,196,191,188
315,192,188,191
316,189,39,38
317,191,189,38
318,190,174,163
319,190,173,187
320,191,38,37
321,196,188,164
322,192,37,36
323,197,36,17
324,193,51,50
325,199,193,50
326,194,52,51
327,194,51,193
328,195,177,41
329,195,41,40
330,196,164,183
331,196,183,189
332,197,48,168
333,197,176,192
334,198,49,20
335,198,61,178
336,199,185,187
337,199,50,49
