ele_id,Node_1,Node_2,Node_3
1,93,35,15
2,164,128,133
3,88,33,71
4,89,32,73
5,76,73,12
6,94,11,77
7,67,30,10
8,83,29,9
9,87,28,79
10,183,153,173
11,84,75,7
12,151,148,123
13,155,127,130
14,131,130,103
15,90,3,70
16,82,70,23
17,81,1,78
18,78,21,66
19,124,97,122
20,109,72,104
21,174,149,171
22,97,78,66
23,91,22,81
24,141,140,109
25,80,4,72
26,95,5,68
27,85,6,74
28,79,8,75
29,87,83,9
30,92,29,83
31,77,30,67
32,108,101,45
33,147,108,45
34,86,69,34
35,93,15,69
36,50,36,17
37,126,100,123
38,100,79,75
39,173,148,172
40,127,114,115
41,41,19,55
42,176,171,150
43,105,98,93
44,137,133,105
45,88,86,14
46,108,73,101
47,145,101,76
48,106,67,92
49,121,83,87
50,200,183,192
51,65,51,20
52,236,64,226
53,152,125,149
54,216,189,201
55,230,222,228
56,56,18,40
57,177,155,175
58,85,84,27
59,95,74,26
60,138,135,113
61,90,72,24
62,120,104,90
63,91,82,2
64,110,78,97
65,238,227,236
66,66,21,16
67,96,16,35
68,106,77,67
69,92,10,29
70,68,5,25
71,80,25,4
72,69,15,34
73,86,34,14
74,70,3,23
75,82,23,2
76,71,33,13
77,89,13,32
78,72,4,24
79,90,24,3
80,73,32,12
81,76,12,31
82,74,6,26
83,95,26,5
84,75,8,7
85,84,7,27
86,94,31,11
87,145,76,94
88,145,77,106
89,77,11,30
90,125,97,124
91,78,1,21
92,153,126,148
93,79,28,8
94,109,80,72
95,80,68,25
96,136,117,134
97,81,22,1
98,91,2,22
99,117,82,91
100,111,92,83
101,87,9,28
102,85,27,6
103,115,84,85
104,103,85,74
105,115,85,103
106,88,14,33
107,112,105,69
108,107,79,100
109,121,87,107
110,108,88,71
111,116,112,86
112,108,89,73
113,89,71,13
114,120,70,99
115,120,90,70
116,118,81,110
117,117,99,82
118,111,106,92
119,92,67,10
120,105,93,69
121,96,35,93
122,145,94,77
123,94,76,31
124,113,68,102
125,119,95,113
126,122,96,98
127,96,66,16
128,122,66,96
129,149,125,124
130,98,96,93
131,128,124,122
132,156,139,136
133,99,70,82
134,114,75,84
135,148,126,123
136,101,46,45
137,101,73,76
138,165,138,140
139,102,68,80
140,119,74,95
141,115,114,84
142,167,141,166
143,104,72,90
144,112,69,86
145,133,128,98
146,170,146,48
147,170,145,106
148,121,111,83
149,107,87,79
150,147,44,144
151,108,71,89
152,141,109,104
153,109,102,80
154,118,117,91
155,110,81,78
156,162,132,153
157,146,111,143
158,116,86,88
159,158,144,44
160,135,131,119
161,113,95,68
162,197,175,196
163,114,100,75
164,130,127,115
165,127,123,114
166,116,88,108
167,147,144,116
168,118,91,81
169,159,129,152
170,129,110,125
171,134,118,129
172,160,154,131
173,119,103,74
174,139,99,136
175,142,120,139
176,132,107,126
177,143,121,132
178,128,122,98
179,122,97,66
180,202,192,188
181,123,100,114
182,176,150,164
183,150,149,124
184,182,152,174
185,125,110,97
186,209,187,200
187,126,107,100
188,130,115,103
189,208,204,197
190,133,98,105
191,195,178,194
192,186,181,62
193,129,118,110
194,131,103,119
195,154,130,131
196,135,119,113
197,160,131,135
198,187,169,162
199,132,121,107
200,137,105,112
201,157,133,137
202,161,134,159
203,134,117,118
204,138,113,102
205,185,163,59
206,168,166,142
207,136,99,117
208,144,137,112
209,158,157,137
210,140,138,102
211,165,163,138
212,142,141,104
213,139,120,99
214,165,59,163
215,140,102,109
216,142,104,120
217,167,166,60
218,168,139,156
219,168,142,139
220,169,146,143
221,143,111,121
222,144,112,116
223,158,44,43
224,145,47,46
225,145,46,101
226,170,48,47
227,146,106,111
228,147,116,108
229,147,45,44
230,151,123,127
231,188,173,172
232,150,124,128
233,189,174,171
234,164,133,157
235,190,189,171
236,155,130,154
237,177,151,155
238,193,174,189
239,152,129,125
240,217,209,200
241,153,132,126
242,206,196,179
243,179,175,154
244,219,213,204
245,155,151,127
246,161,136,134
247,186,61,168
248,235,180,43
249,178,176,164
250,158,137,144
251,180,178,157
252,184,159,182
253,159,134,129
254,163,160,135
255,185,179,160
256,184,161,159
257,161,156,136
258,187,48,169
259,162,143,132
260,185,59,58
261,163,135,138
262,194,178,180
263,164,150,128
264,167,165,140
265,165,60,59
266,166,61,60
267,166,141,142
268,167,60,165
269,167,140,141
270,186,168,156
271,168,61,166
272,169,48,146
273,169,143,162
274,170,47,145
275,170,106,146
276,234,212,221
277,171,149,150
278,204,191,197
279,172,148,151
280,192,173,188
281,173,153,148
282,199,184,182
283,174,152,149
284,175,155,154
285,233,39,223
286,178,164,157
287,203,190,195
288,191,188,172
289,177,172,151
290,180,157,158
291,215,205,194
292,179,154,160
293,218,206,58
294,180,158,43
295,235,42,215
296,198,62,181
297,181,156,161
298,199,182,193
299,182,159,152
300,237,209,217
301,183,162,153
302,198,181,184
303,184,181,161
304,206,185,58
305,185,160,163
306,186,156,181
307,186,62,61
308,209,48,187
309,187,162,183
310,191,172,177
311,231,202,213
312,190,171,176
313,226,207,220
314,195,176,178
315,203,201,190
316,197,177,175
317,231,38,224
318,210,200,192
319,192,183,173
320,199,198,184
321,193,182,174
322,232,215,42
323,205,203,195
324,214,203,205
325,195,190,176
326,196,175,179
327,233,225,56
