ele_id,Node_1,Node_2,Node_3
1,119,95,96
2,82,34,71
3,80,71,14
4,131,107,109
5,81,31,70
6,70,11,66
7,92,10,69
8,89,9,78
9,78,28,77
10,118,117,106
11,104,77,79
12,125,118,104
13,100,86,67
14,93,25,65
15,88,72,59
16,191,68,83
17,84,83,22
18,114,98,84
19,149,145,130
20,88,24,72
21,94,16,64
22,94,21,16
23,83,68,2
24,90,23,68
25,93,74,5
26,74,67,26
27,86,6,67
28,79,7,75
29,115,78,106
30,112,69,102
31,108,101,70
32,87,12,81
33,91,13,73
34,120,119,96
35,76,64,35
36,194,17,49
37,185,179,165
38,106,77,104
39,162,153,152
40,53,40,19
41,166,163,154
42,82,76,15
43,103,71,80
44,91,80,33
45,97,87,81
46,108,66,99
47,112,92,69
48,124,102,121
49,179,48,173
50,63,50,20
51,96,64,76
52,151,138,137
53,182,177,175
54,196,18,39
55,195,192,186
56,79,77,8
57,86,75,27
58,134,74,93
59,88,58,65
60,90,72,3
61,191,111,68
62,85,84,1
63,174,161,169
64,64,16,35
65,76,35,15
66,65,25,4
67,88,4,24
68,66,11,30
69,92,30,10
70,67,6,26
71,74,26,5
72,68,23,2
73,83,2,22
74,69,10,29
75,89,29,9
76,101,97,81
77,70,31,11
78,71,34,14
79,80,14,33
80,72,24,3
81,90,3,23
82,73,13,32
83,87,32,12
84,93,5,25
85,134,58,57
86,75,7,27
87,86,27,6
88,82,15,34
89,96,95,64
90,77,28,8
91,79,8,7
92,121,115,117
93,78,9,28
94,110,104,79
95,110,79,75
96,91,33,13
97,107,80,91
98,150,109,97
99,81,12,31
100,113,71,103
101,105,96,76
102,84,22,1
103,191,83,98
104,85,1,21
105,114,84,85
106,94,85,21
107,116,85,94
108,134,100,67
109,100,75,86
110,97,73,87
111,87,73,32
112,88,59,58
113,88,65,4
114,115,89,78
115,89,69,29
116,111,90,68
117,90,59,72
118,109,91,73
119,107,103,80
120,146,127,124
121,92,66,30
122,93,65,58
123,134,93,58
124,95,94,64
125,116,94,95
126,138,119,137
127,149,126,138
128,105,76,82
129,120,96,105
130,101,81,70
131,150,133,45
132,191,132,160
133,98,83,84
134,183,133,129
135,99,66,92
136,170,57,56
137,170,135,100
138,108,70,66
139,133,101,129
140,142,121,139
141,102,69,89
142,143,123,141
143,113,105,82
144,164,152,140
145,140,118,125
146,113,82,71
147,144,122,143
148,117,115,106
149,106,78,77
150,109,107,91
151,131,128,107
152,129,108,99
153,129,101,108
154,109,73,97
155,148,131,44
156,110,75,100
157,171,164,140
158,111,60,59
159,111,59,90
160,127,112,124
161,112,99,92
162,123,122,113
163,122,120,105
164,116,114,85
165,132,114,130
166,139,117,136
167,115,102,89
168,126,95,119
169,130,116,126
170,118,106,104
171,153,136,152
172,125,104,110
173,192,176,55
174,137,119,120
175,163,156,151
176,122,105,113
177,144,120,122
178,155,139,153
179,121,102,115
180,123,113,103
181,157,141,43
182,128,123,103
183,141,123,128
184,167,147,146
185,124,112,102
186,135,125,110
187,140,136,118
188,149,130,126
189,126,116,95
190,147,129,127
191,127,99,112
192,128,103,107
193,148,141,128
194,129,99,127
195,183,129,147
196,145,132,130
197,130,114,116
198,150,131,109
199,148,44,43
200,160,132,145
201,132,98,114
202,150,45,44
203,133,97,101
204,134,57,100
205,134,67,74
206,135,110,100
207,176,171,56
208,185,165,162
209,136,117,118
210,166,154,159
211,190,181,178
212,169,161,156
213,138,126,119
214,173,167,158
215,139,121,117
216,171,125,135
217,184,164,176
218,157,43,42
219,157,143,141
220,158,146,142
221,142,124,121
222,159,143,157
223,143,122,123
224,154,151,137
225,144,137,120
226,161,61,145
227,160,145,61
228,167,46,147
229,146,124,142
230,183,147,46
231,147,127,146
232,148,43,141
233,148,128,131
234,156,138,151
235,161,145,149
236,150,97,133
237,150,44,131
238,154,137,144
239,180,163,172
240,195,187,185
241,152,136,140
242,162,155,153
243,153,139,136
244,159,144,143
245,175,166,168
246,165,158,155
247,155,142,139
248,178,174,169
249,156,149,138
250,168,42,41
251,168,157,42
252,173,47,167
253,158,142,155
254,193,177,182
255,159,154,144
256,160,61,60
257,191,160,60
258,174,61,161
259,161,149,156
260,184,152,164
261,188,179,185
262,180,178,169
263,163,151,154
264,171,140,125
265,196,39,186
266,179,173,165
267,165,155,162
268,168,166,159
269,175,168,41
270,167,47,46
271,167,146,158
272,168,159,157
273,175,172,166
274,169,156,163
275,181,50,63
276,170,100,57
277,171,170,56
278,171,135,170
279,176,56,55
280,189,178,180
281,172,163,166
282,173,48,47
283,173,158,165
284,181,62,174
285,174,62,61
286,182,41,40
287,193,182,53
288,192,55,54
289,176,164,171
290,189,52,51
291,177,172,175
292,180,169,163
293,190,178,189
294,194,188,36
295,179,49,48
296,180,172,177
297,189,180,177
298,181,63,62
299,181,174,178
300,182,175,41
301,182,40,53
302,183,46,45
303,183,45,133
304,188,187,37
305,184,162,152
306,195,162,184
307,188,185,187
308,186,39,38
309,187,186,38
310,187,38,37
311,195,185,162
312,188,37,36
313,194,36,17
314,193,189,177
315,190,189,51
316,190,51,50
317,190,50,181
318,191,98,132
319,191,60,111
320,192,184,176
321,196,192,54
322,193,53,52
323,193,52,189
324,194,49,179
325,194,179,188
326,195,184,192
327,195,186,187
328,196,54,18
329,196,186,192
