ele_id,Node_1,Node_2,Node_3
1,106,63,90
2,120,117,106
3,101,90,72
4,91,71,68
5,83,31,76
6,76,11,60
7,78,60,30
8,103,97,78
9,79,28,67
10,107,67,102
11,102,81,99
12,69,27,62
13,80,62,6
14,77,25,59
15,65,3,64
16,75,64,23
17,74,1,61
18,61,21,58
19,73,35,15
20,85,24,65
21,105,95,74
22,109,58,89
23,84,22,74
24,64,3,23
25,92,77,59
26,87,5,77
27,81,7,69
28,69,7,27
29,132,122,119
30,82,29,66
31,60,11,30
32,86,12,83
33,71,13,68
34,72,14,70
35,73,15,63
36,46,36,17
37,107,79,67
38,116,111,102
39,49,39,19
40,117,115,110
41,90,63,72
42,71,70,33
43,124,83,96
44,128,96,97
45,82,78,10
46,160,143,159
47,57,47,20
48,130,114,112
49,106,73,63
50,50,18,38
51,162,137,150
52,100,99,69
53,87,80,26
54,92,59,85
55,135,123,93
56,84,75,2
57,148,139,134
58,58,21,16
59,88,16,35
60,59,25,4
61,85,4,24
62,97,96,60
63,78,30,10
64,109,61,58
65,61,1,21
66,62,27,6
67,80,6,26
68,63,15,34
69,72,34,14
70,123,65,64
71,75,23,2
72,123,92,85
73,65,24,3
74,66,29,9
75,79,9,28
76,67,28,8
77,81,8,7
78,68,13,32
79,86,32,12
80,100,62,98
81,100,69,62
82,70,14,33
83,71,33,13
84,124,68,86
85,91,70,71
86,101,72,70
87,72,63,34
88,115,112,89
89,88,35,73
90,105,74,61
91,74,22,1
92,84,2,22
93,93,75,84
94,96,83,76
95,76,31,11
96,125,108,53
97,77,5,25
98,82,10,29
99,103,78,82
100,143,132,129
101,79,66,9
102,87,26,5
103,98,80,87
104,99,81,69
105,81,67,8
106,104,66,94
107,104,82,66
108,124,96,43
109,83,12,31
110,95,84,74
111,95,93,84
112,123,85,65
113,85,59,4
114,124,91,68
115,86,68,32
116,108,77,92
117,108,98,87
118,110,88,73
119,88,58,16
120,151,130,144
121,89,58,88
122,149,141,41
123,156,149,40
124,127,42,41
125,127,101,91
126,142,92,54
127,142,108,92
128,135,54,123
129,93,64,75
130,129,113,111
131,94,66,79
132,139,126,121
133,126,95,121
134,96,76,60
135,124,43,42
136,138,128,97
137,97,60,78
138,150,140,52
139,98,62,80
140,145,143,131
141,131,129,111
142,140,98,125
143,118,116,99
144,101,70,91
145,141,101,127
146,111,107,102
147,102,67,81
148,104,103,82
149,138,103,122
150,119,94,113
151,122,104,119
152,109,105,61
153,121,105,114
154,136,117,133
155,110,73,106
156,113,107,111
157,107,94,79
158,108,87,77
159,125,53,52
160,112,109,89
161,114,109,112
162,136,115,117
163,110,89,88
164,116,102,99
165,165,160,159
166,115,89,110
167,151,148,134
168,132,113,129
169,113,94,107
170,134,121,114
171,114,105,109
172,117,110,106
173,146,136,133
174,118,99,100
175,166,158,164
176,120,106,90
177,146,144,136
178,140,100,98
179,137,131,116
180,147,122,132
181,119,104,94
182,141,90,101
183,141,133,120
184,139,55,126
185,121,95,105
186,147,138,122
187,122,103,104
188,123,64,93
189,123,54,92
190,124,42,91
191,124,86,83
192,140,125,52
193,125,98,108
194,135,126,55
195,126,93,95
196,127,91,42
197,141,127,41
198,128,44,43
199,128,43,96
200,131,111,116
201,165,36,46
202,155,151,153
203,130,112,115
204,137,116,118
205,158,154,145
206,160,132,143
207,132,119,113
208,133,117,120
209,156,152,146
210,148,56,139
211,134,114,130
212,135,93,126
213,135,55,54
214,157,153,152
215,136,130,115
216,150,118,140
217,162,158,145
218,138,44,128
219,138,97,103
220,139,121,134
221,139,56,55
222,150,52,51
223,140,118,100
224,149,41,40
225,141,120,90
226,142,54,53
227,142,53,108
228,143,129,131
229,161,159,154
230,157,155,153
231,144,130,136
232,166,161,158
233,145,131,137
234,149,146,133
235,163,156,39
236,147,45,44
237,147,44,138
238,155,57,148
239,148,57,56
240,156,40,39
241,149,133,141
242,164,162,51
243,150,137,118
244,151,134,130
245,153,144,152
246,157,49,48
247,152,144,146
248,157,47,155
249,153,151,144
250,161,36,159
251,154,143,145
252,155,47,57
253,155,148,151
254,156,146,149
255,163,39,49
256,163,157,152
257,157,48,47
258,162,145,137
259,164,158,162
260,165,45,160
261,159,143,154
262,160,45,147
263,160,147,132
264,161,154,158
265,161,37,36
266,162,150,51
267,164,51,50
268,163,49,157
269,163,152,156
270,164,50,38
271,166,164,38
272,165,159,36
273,165,46,45
274,166,38,37
275,166,37,161
